Department,Category,Condition Group,Sales Week,Gross Revenue,Return Value,Net Item Revenue (Fulfilled),Gross Items (Fullfilled),Net Items (Fulfilled),Gross Orders (Fulfilled),Net Sell Through Items (Week),MSRP of Sold Items,Avg. Item Age When Sold,Avg. Item Age EOW,EOW Inventory For Sale $,EOW Inventory For Sale Items,MSRP of EOW Inventory
Outdoor Furniture,Dining Tables,Perfect,1/13/19,373.33,23.33,350,16,15,12,0.06,455,119.97,145.46,6101,252,9904
Outdoor Furniture,Dining Tables,Perfect,1/6/19,362,0,362,16,16,12,0.06,470,130.13,139.23,6486,267,10529
Outdoor Furniture,Dining Tables,Perfect,12/30/18,181.13,20.13,161,9,8,6,0.03,209,124.36,134.68,6747,281,10954
Outdoor Furniture,Dining Tables,Perfect,12/23/18,204.57,25.57,179,8,7,7,0.02,232,212.52,132.37,6819,285,11070
Outdoor Furniture,Dining Tables,Perfect,12/16/18,94,0,94,6,6,5,0.02,122,75.85,124.88,6958,290,11295
Outdoor Furniture,Dining Tables,Perfect,12/9/18,236.57,29.57,207,8,7,9,0.02,269,98.79,119,6937,291,11261
Outdoor Furniture,Dining Tables,Perfect,12/2/18,288,0,288,13,13,10,0.04,374,109.26,118.16,6915,293,11225
Outdoor Furniture,Dining Tables,Perfect,11/25/18,226.33,32.33,194,7,6,7,0.02,252,90.09,114.24,7119,302,11557
Outdoor Furniture,Dining Tables,Perfect,11/18/18,222.55,18.55,204,12,11,11,0.04,265,95.33,116.62,7191,300,11673
Outdoor Furniture,Dining Tables,Perfect,11/11/18,219.43,27.43,192,8,7,5,0.02,249,157.85,114.87,7137,299,11586
Outdoor Furniture,Dining Tables,Perfect,11/4/18,147,0,147,8,8,9,0.03,191,83.93,109.62,7165,302,11632
Outdoor Furniture,Dining Tables,Perfect,10/28/18,41,0,41,1,1,2,0,53,147.3,106.54,7124,305,11564
Outdoor Furniture,Dining Tables,Perfect,10/21/18,59,0,59,3,3,3,0.01,77,171.25,105.63,6905,296,11209
Outdoor Furniture,Dining Tables,Perfect,10/14/18,70,0,70,3,3,4,0.01,91,55.36,104.37,6667,288,10823
Outdoor Furniture,Dining Tables,Perfect,10/7/18,134.17,19.17,115,7,6,6,0.02,149,129.51,101.78,6463,281,10491
Outdoor Furniture,Dining Tables,Great,1/13/19,24,0,24,1,1,1,0.03,31,74.84,134.96,794,30,1289
Outdoor Furniture,Dining Tables,Great,1/6/19,0,0,0,0,0,0,0,0,0,130.13,822,31,1334
Outdoor Furniture,Dining Tables,Great,12/30/18,0,0,0,0,0,0,0,0,0,134.05,739,29,1200
Outdoor Furniture,Dining Tables,Great,12/23/18,80,40,40,2,1,1,0.03,52,63.37,126.91,739,29,1200
Outdoor Furniture,Dining Tables,Great,12/16/18,0,0,0,0,0,0,0,0,0,119.35,779,30,1264
Outdoor Furniture,Dining Tables,Great,12/9/18,35,0,35,2,2,2,0.06,45,18.79,108.57,779,30,1264
Outdoor Furniture,Dining Tables,Great,12/2/18,48,24,24,2,1,1,0.03,31,88.7,103.04,816,32,1325
Outdoor Furniture,Dining Tables,Great,11/25/18,31.4,25.4,6,2,0,1,0,8,55.59,97.65,801,31,1300
Outdoor Furniture,Dining Tables,Great,11/18/18,43.5,14.5,29,3,2,2,0.06,38,109.19,101.5,821,32,1332
Outdoor Furniture,Dining Tables,Great,11/11/18,45,30,15,3,1,1,0.03,19,8.09,95.55,824,32,1338
Outdoor Furniture,Dining Tables,Great,11/4/18,90,45,45,2,1,1,0.03,58,135.06,94.43,835,33,1355
Outdoor Furniture,Dining Tables,Great,10/28/18,10.6,1.6,9,1,0,1,0,12,75.08,92.19,857,33,1391
Outdoor Furniture,Dining Tables,Great,10/21/18,0,0,0,0,0,0,0,0,0,86.94,854,32,1386
Outdoor Furniture,Dining Tables,Great,10/14/18,0,0,0,0,0,0,0,0,0,82.04,854,32,1386
Outdoor Furniture,Dining Tables,Great,10/7/18,0,2,-2,0,0,1,0,-3,101.87,82.46,734,28,1191
Outdoor Furniture,Dining Tables,OK,1/13/19,0,0,0,0,0,0,0,0,0,103.88,36,1,59
Outdoor Furniture,Dining Tables,OK,1/6/19,64,0,64,2,2,2,0.67,83,105.57,98.07,36,1,59
Outdoor Furniture,Dining Tables,OK,12/30/18,0,0,0,0,0,0,0,0,0,94.57,107,3,173
Outdoor Furniture,Dining Tables,OK,12/23/18,0,0,0,0,0,0,0,0,0,89.67,107,3,173
Outdoor Furniture,Dining Tables,OK,12/16/18,0,0,0,0,0,0,0,0,0,72.73,107,3,173
Outdoor Furniture,Dining Tables,OK,12/9/18,0,0,0,0,0,0,0,0,0,67.83,107,3,173
Outdoor Furniture,Dining Tables,OK,12/2/18,0,0,0,0,0,0,0,0,0,62.93,107,3,173
Outdoor Furniture,Dining Tables,OK,11/25/18,20,0,20,1,1,1,0.25,26,275.35,96.74,107,3,173
Outdoor Furniture,Dining Tables,OK,11/18/18,0,0,0,0,0,0,0,0,0,110.95,129,4,209
Outdoor Furniture,Dining Tables,OK,11/11/18,0,0,0,0,0,0,0,0,0,106.05,129,4,209
Outdoor Furniture,Dining Tables,OK,11/4/18,0,0,0,0,0,0,0,0,0,101.15,129,4,209
Outdoor Furniture,Dining Tables,OK,10/28/18,0,0,0,0,0,0,0,0,0,80.29,129,4,209
Outdoor Furniture,Dining Tables,OK,10/21/18,0,0,0,0,0,0,0,0,0,75.39,129,4,209
Outdoor Furniture,Dining Tables,OK,10/14/18,0,0,0,0,0,0,0,0,0,70.49,129,4,209
Outdoor Furniture,Dining Tables,OK,10/7/18,0,0,0,0,0,0,0,0,0,65.59,129,4,209
Outdoor Furniture,Chairs,Perfect,1/13/19,781.52,35.52,746,22,21,15,0.08,848,178.95,142.17,10374,260,10717
Outdoor Furniture,Chairs,Perfect,1/6/19,724.11,38.11,686,19,18,17,0.06,780,164.4,140,11092,277,11459
Outdoor Furniture,Chairs,Perfect,12/30/18,811.06,45.06,766,18,17,13,0.05,870,58.44,133.42,11904,297,12298
Outdoor Furniture,Chairs,Perfect,12/23/18,94,0,94,2,2,2,0.01,107,54.98,130.34,12390,309,12800
Outdoor Furniture,Chairs,Perfect,12/16/18,441,0,441,12,12,9,0.04,501,123.89,130.06,12350,308,12758
Outdoor Furniture,Chairs,Perfect,12/9/18,892.32,34.32,858,26,25,18,0.07,975,128.21,127.54,12646,314,13064
Outdoor Furniture,Chairs,Perfect,12/2/18,1021.85,37.85,984,27,26,21,0.07,1118,127.44,124.81,13246,333,13684
Outdoor Furniture,Chairs,Perfect,11/25/18,476,0,476,11,11,10,0.03,541,112.42,123.55,13763,343,14218
Outdoor Furniture,Chairs,Perfect,11/18/18,455,0,455,14,14,13,0.04,517,114.96,118.58,13811,344,14267
Outdoor Furniture,Chairs,Perfect,11/11/18,928.19,42.19,886,22,21,14,0.06,1007,49.59,112.63,13325,337,13766
Outdoor Furniture,Chairs,Perfect,11/4/18,487,0,487,13,13,11,0.04,553,83.93,113.05,13220,333,13657
Outdoor Furniture,Chairs,Perfect,10/28/18,576,0,576,15,15,11,0.04,655,64.22,110.6,13398,339,13841
Outdoor Furniture,Chairs,Perfect,10/21/18,411,0,411,9,9,6,0.03,467,76.23,110.6,13199,338,13635
Outdoor Furniture,Chairs,Perfect,10/14/18,1022.7,48.7,974,21,20,14,0.06,1107,65.45,107.45,13188,336,13624
Outdoor Furniture,Chairs,Perfect,10/7/18,997.5,52.5,945,19,18,14,0.05,1074,60.37,105.49,13476,339,13922
Outdoor Furniture,Chairs,Great,1/13/19,233.33,93.33,140,5,3,3,0.06,159,71.84,146.3,1852,45,1914
Outdoor Furniture,Chairs,Great,1/6/19,234,78,156,6,4,4,0.08,177,157.47,141.96,2006,48,2073
Outdoor Furniture,Chairs,Great,12/30/18,97.5,32.5,65,3,2,2,0.04,74,76,134.75,1987,49,2052
Outdoor Furniture,Chairs,Great,12/23/18,121.5,40.5,81,3,2,2,0.04,92,64.53,140.35,1946,49,2010
Outdoor Furniture,Chairs,Great,12/16/18,0,-4,4,0,0,1,0,5,46.28,135.45,2000,50,2066
Outdoor Furniture,Chairs,Great,12/9/18,33,0,33,1,1,1,0.02,38,73.3,136.08,1904,48,1967
Outdoor Furniture,Chairs,Great,12/2/18,150,30,120,5,4,4,0.08,136,124.05,130.83,1954,49,2018
Outdoor Furniture,Chairs,Great,11/25/18,93,62,31,3,1,1,0.02,35,1.77,128.8,1969,51,2034
Outdoor Furniture,Chairs,Great,11/18/18,90,45,45,2,1,1,0.02,51,55.59,125.65,1998,52,2064
Outdoor Furniture,Chairs,Great,11/11/18,90,30,60,3,2,2,0.04,68,39.58,119.28,1981,51,2047
Outdoor Furniture,Chairs,Great,11/4/18,72,36,36,2,1,1,0.02,41,15.63,112.84,2060,53,2128
Outdoor Furniture,Chairs,Great,10/28/18,38.38,69.38,-31,1,0,1,0,-35,272.81,113.4,1962,50,2027
Outdoor Furniture,Chairs,Great,10/21/18,153,102,51,3,1,1,0.02,58,4.7,118.51,1862,48,1924
Outdoor Furniture,Chairs,Great,10/14/18,127,0,127,3,3,3,0.06,144,32.49,111.23,1879,48,1941
Outdoor Furniture,Chairs,Great,10/7/18,78,0,78,2,2,2,0.04,89,23.95,105.56,1846,48,1907
Outdoor Furniture,Chairs,OK,1/13/19,0,0,0,0,0,0,0,0,0,84.14,298,8,308
Outdoor Furniture,Chairs,OK,1/6/19,0,0,0,0,0,0,0,0,0,79.24,259,7,267
Outdoor Furniture,Chairs,OK,12/30/18,0,0,0,0,0,0,0,0,0,85.4,216,6,223
Outdoor Furniture,Chairs,OK,12/23/18,0,0,0,0,0,0,0,0,0,94.71,216,6,223
Outdoor Furniture,Chairs,OK,12/16/18,0,0,0,0,0,0,0,0,0,89.81,216,6,223
Outdoor Furniture,Chairs,OK,12/9/18,57,0,57,2,2,2,0.25,65,283.59,129.64,216,6,223
Outdoor Furniture,Chairs,OK,12/2/18,76,38,38,2,1,1,0.11,43,15.86,113.4,274,8,283
Outdoor Furniture,Chairs,OK,11/25/18,42,0,42,1,1,1,0.1,48,15.79,99.54,323,9,334
Outdoor Furniture,Chairs,OK,11/18/18,0,0,0,0,0,0,0,0,0,91.35,378,10,391
Outdoor Furniture,Chairs,OK,11/11/18,0,0,0,0,0,0,0,0,0,83.3,378,10,391
Outdoor Furniture,Chairs,OK,11/4/18,0,0,0,0,0,0,0,0,0,78.4,329,9,340
Outdoor Furniture,Chairs,OK,10/28/18,0,0,0,0,0,0,0,0,0,90.72,274,8,283
Outdoor Furniture,Chairs,OK,10/21/18,0,0,0,0,0,0,0,0,0,111.23,218,6,225
Outdoor Furniture,Chairs,OK,10/14/18,29,0,29,1,1,1,0.14,33,37.04,117.39,218,6,225
Outdoor Furniture,Chairs,OK,10/7/18,46,0,46,1,1,1,0.13,52,14.09,95.34,248,7,256
Outdoor Furniture,Rugs,Perfect,1/13/19,12692,0,12692,160,160,163,0.05,21512,166.09,184.31,296896,3333,457466
Outdoor Furniture,Rugs,Perfect,1/6/19,12520,0,12520,160,160,140,0.04,21220,177.72,178.57,310308,3485,478132
Outdoor Furniture,Rugs,Perfect,12/30/18,7149.26,88.26,7061,81,80,85,0.02,11968,173.1,173.6,324202,3646,499541
Outdoor Furniture,Rugs,Perfect,12/23/18,5746.79,89.79,5657,64,63,71,0.02,9588,177.64,169.19,328733,3707,506522
Outdoor Furniture,Rugs,Perfect,12/16/18,6062,0,6062,61,61,67,0.02,10275,170.86,164.71,333240,3758,513466
Outdoor Furniture,Rugs,Perfect,12/9/18,9197,0,9197,104,104,101,0.03,15588,145.45,160.37,334357,3763,515188
Outdoor Furniture,Rugs,Perfect,12/2/18,6189,0,6189,70,70,79,0.02,10490,162.32,158.69,338491,3817,521558
Outdoor Furniture,Rugs,Perfect,11/25/18,6393,0,6393,71,71,72,0.02,10836,191.96,155.68,341121,3846,525610
Outdoor Furniture,Rugs,Perfect,11/18/18,4648.55,81.55,4567,57,56,55,0.01,7741,170.63,153.37,342411,3868,527598
Outdoor Furniture,Rugs,Perfect,11/11/18,3445.02,82.02,3363,42,41,42,0.01,5700,142.76,149.87,339701,3843,523422
Outdoor Furniture,Rugs,Perfect,11/4/18,2995,0,2995,36,36,40,0.01,5076,156.46,148.47,336918,3813,519134
Outdoor Furniture,Rugs,Perfect,10/28/18,1401.44,82.44,1319,17,16,26,0,2236,133.13,145.39,333919,3794,514514
Outdoor Furniture,Rugs,Perfect,10/21/18,2731,0,2731,26,26,26,0.01,4629,101.72,143.78,325674,3711,501808
Outdoor Furniture,Rugs,Perfect,10/14/18,3626.45,88.45,3538,41,40,47,0.01,5997,140.99,143.01,317392,3627,489047
Outdoor Furniture,Rugs,Perfect,10/7/18,6640,0,6640,60,60,58,0.02,11254,128.82,141.12,312490,3580,481495
Outdoor Furniture,Rugs,Great,1/13/19,2589,0,2589,28,28,29,0.04,4388,102.8,156.38,59060,656,91002
Outdoor Furniture,Rugs,Great,1/6/19,2513.14,162.14,2351,31,29,36,0.04,3985,156,153.02,61340,679,94515
Outdoor Furniture,Rugs,Great,12/30/18,1573.93,104.93,1469,15,14,15,0.02,2490,181.87,147.98,61714,683,95092
Outdoor Furniture,Rugs,Great,12/23/18,175,0,175,4,4,5,0.01,297,94.09,148.54,63258,698,97469
Outdoor Furniture,Rugs,Great,12/16/18,856.9,77.9,779,11,10,10,0.01,1320,132.67,144.55,62597,695,96451
Outdoor Furniture,Rugs,Great,12/9/18,1747.06,97.06,1650,18,17,18,0.02,2797,112.11,139.93,61643,684,94981
Outdoor Furniture,Rugs,Great,12/2/18,1413,157,1256,9,8,11,0.01,2129,108.42,137.06,63254,699,97464
Outdoor Furniture,Rugs,Great,11/25/18,822.5,164.5,658,10,8,11,0.01,1115,160.01,135.52,63175,693,97342
Outdoor Furniture,Rugs,Great,11/18/18,867.78,86.78,781,10,9,10,0.01,1324,109.8,132.09,62498,686,96298
Outdoor Furniture,Rugs,Great,11/11/18,607,0,607,7,7,8,0.01,1029,123.97,128.87,61622,679,94949
Outdoor Furniture,Rugs,Great,11/4/18,543.67,77.67,466,7,6,6,0.01,790,20.25,125.65,60453,669,93147
Outdoor Furniture,Rugs,Great,10/28/18,548.33,78.33,470,7,6,7,0.01,797,61.99,122.36,60306,667,92922
Outdoor Furniture,Rugs,Great,10/21/18,244,61,183,4,3,5,0.01,310,250.87,120.68,59148,657,91137
Outdoor Furniture,Rugs,Great,10/14/18,752.14,167.14,585,9,7,9,0.01,992,143.07,120.89,56796,634,87514
Outdoor Furniture,Rugs,Great,10/7/18,615,246,369,5,3,7,0.01,625,134.98,120.75,55028,616,84788
Outdoor Furniture,Rugs,OK,1/13/19,835,0,835,11,11,12,0.05,1415,140.06,168.56,15916,198,24524
Outdoor Furniture,Rugs,OK,1/6/19,828,0,828,10,10,11,0.05,1403,152.54,168,16305,201,25124
Outdoor Furniture,Rugs,OK,12/30/18,320,0,320,4,4,5,0.02,542,266.96,164.08,16348,201,25190
Outdoor Furniture,Rugs,OK,12/23/18,421.33,105.33,316,4,3,4,0.01,536,185.26,167.23,16641,205,25641
Outdoor Furniture,Rugs,OK,12/16/18,350,0,350,4,4,4,0.02,593,218.76,164.71,16518,205,25451
Outdoor Furniture,Rugs,OK,12/9/18,-41,0,-41,1,1,2,0.01,-69,109.57,159.95,16335,205,25169
Outdoor Furniture,Rugs,OK,12/2/18,615,0,615,7,7,7,0.03,1042,145.22,157.43,16573,206,25536
Outdoor Furniture,Rugs,OK,11/25/18,601.2,100.2,501,6,5,6,0.02,849,107.18,151.9,17146,212,26419
Outdoor Furniture,Rugs,OK,11/18/18,295,0,295,3,3,3,0.01,500,138.37,149.17,17646,218,27190
Outdoor Furniture,Rugs,OK,11/11/18,0,0,0,0,0,0,0,0,0,144.97,17721,219,27305
Outdoor Furniture,Rugs,OK,11/4/18,277,0,277,3,3,3,0.01,469,52.75,140.14,17441,216,26873
Outdoor Furniture,Rugs,OK,10/28/18,0,106,-106,0,0,1,0,-180,3.31,136.85,17410,216,26825
Outdoor Furniture,Rugs,OK,10/21/18,-15,0,-15,1,1,2,0.01,-25,104.41,134.68,17118,212,26376
Outdoor Furniture,Rugs,OK,10/14/18,586.25,117.25,469,5,4,4,0.02,795,59.91,131.6,16773,208,25844
Outdoor Furniture,Rugs,OK,10/7/18,496,0,496,3,3,2,0.01,841,51.82,129.29,16898,207,26037
Outdoor Furniture,Side Tables,Perfect,1/13/19,3594,0,3594,106,106,92,0.05,7987,205.36,192.43,96520,2090,268110
Outdoor Furniture,Side Tables,Perfect,1/6/19,4275.84,37.84,4238,113,112,89,0.05,9418,176.72,186.83,99514,2181,276427
Outdoor Furniture,Side Tables,Perfect,12/30/18,2202,0,2202,62,62,58,0.03,4893,200.82,182.35,104429,2300,290079
Outdoor Furniture,Side Tables,Perfect,12/23/18,2695.12,34.12,2661,79,78,68,0.03,5913,164.09,178.5,104789,2332,291081
Outdoor Furniture,Side Tables,Perfect,12/16/18,1403.94,37.94,1366,37,36,41,0.02,3036,119.5,173.53,106741,2398,296502
Outdoor Furniture,Side Tables,Perfect,12/9/18,3136,0,3136,83,83,80,0.03,6969,212.37,171.57,105807,2381,293908
Outdoor Furniture,Side Tables,Perfect,12/2/18,5338.33,37.33,5301,143,142,110,0.06,11780,178.64,171.36,106849,2410,296801
Outdoor Furniture,Side Tables,Perfect,11/25/18,2947,0,2947,84,84,69,0.03,6549,171.02,169.82,109408,2484,303912
Outdoor Furniture,Side Tables,Perfect,11/18/18,2771.21,34.21,2737,81,80,65,0.03,6082,137.52,169.4,110217,2531,306158
Outdoor Furniture,Side Tables,Perfect,11/11/18,2571.56,39.56,2532,65,64,54,0.03,5627,142.84,164.99,109501,2539,304168
Outdoor Furniture,Side Tables,Perfect,11/4/18,2362,0,2362,74,74,61,0.03,5249,133.52,165.41,109225,2523,303401
Outdoor Furniture,Side Tables,Perfect,10/28/18,2188.07,39.07,2149,56,55,53,0.02,4776,116.66,162.89,108458,2533,301272
Outdoor Furniture,Side Tables,Perfect,10/21/18,3038.39,33.39,3005,91,90,71,0.04,6678,134.83,162.61,105822,2487,293951
Outdoor Furniture,Side Tables,Perfect,10/14/18,3486.7,31.7,3455,110,109,81,0.04,7678,162.62,161.63,105557,2512,293214
Outdoor Furniture,Side Tables,Perfect,10/7/18,2891.84,34.84,2857,83,82,84,0.03,6349,151.92,161.77,104727,2531,290907
Outdoor Furniture,Side Tables,Great,1/13/19,676,0,676,13,13,14,0.05,1502,106.18,156.87,13672,247,37978
Outdoor Furniture,Side Tables,Great,1/6/19,821.31,48.31,773,17,16,18,0.06,1718,160.24,153.3,14137,254,39270
Outdoor Furniture,Side Tables,Great,12/30/18,194.29,24.29,170,8,7,9,0.03,378,91.55,149.59,14416,265,40043
Outdoor Furniture,Side Tables,Great,12/23/18,456.43,101.43,355,9,7,8,0.03,789,135.83,152.46,13884,261,38567
Outdoor Furniture,Side Tables,Great,12/16/18,90,180,-90,1,-1,5,0,-200,146.69,150.36,14196,267,39432
Outdoor Furniture,Side Tables,Great,12/9/18,856.06,45.06,811,19,18,20,0.07,1802,126.9,142.73,13707,258,38075
Outdoor Furniture,Side Tables,Great,12/2/18,543.21,36.21,507,15,14,16,0.05,1127,161.24,141.54,14350,274,39860
Outdoor Furniture,Side Tables,Great,11/25/18,530.36,35.36,495,15,14,16,0.05,1100,126.51,139.65,14853,284,41259
Outdoor Furniture,Side Tables,Great,11/18/18,311.25,62.25,249,10,8,9,0.03,553,226.77,138.46,15128,291,42023
Outdoor Furniture,Side Tables,Great,11/11/18,363.86,80.86,283,9,7,9,0.02,629,182.18,136.22,15221,295,42280
Outdoor Furniture,Side Tables,Great,11/4/18,353.45,29.45,324,12,11,9,0.04,720,142.84,134.19,15181,298,42170
Outdoor Furniture,Side Tables,Great,10/28/18,307.67,23.67,284,13,12,12,0.04,631,60.98,128.17,15136,302,42044
Outdoor Furniture,Side Tables,Great,10/21/18,330,66,264,10,8,11,0.03,587,113.73,130.27,14791,300,41085
Outdoor Furniture,Side Tables,Great,10/14/18,666.43,44.43,622,15,14,16,0.05,1382,101.95,131.18,13980,288,38833
Outdoor Furniture,Side Tables,Great,10/7/18,630,84,546,15,13,13,0.04,1213,92.55,129.71,13688,283,38023
Outdoor Furniture,Side Tables,OK,1/13/19,124,0,124,3,3,4,0.06,276,297.07,146.16,2583,48,7174
Outdoor Furniture,Side Tables,OK,1/6/19,122.67,30.67,92,4,3,3,0.06,204,183.95,143.5,2633,49,7315
Outdoor Furniture,Side Tables,OK,12/30/18,0,76,-76,0,-1,0,-0.02,-169,0,148.54,2251,48,6252
Outdoor Furniture,Side Tables,OK,12/23/18,20,0,20,1,1,1,0.02,44,5.7,150.01,1880,44,5222
Outdoor Furniture,Side Tables,OK,12/16/18,0,18,-18,0,-1,0,-0.02,-40,0,152.53,1819,44,5054
Outdoor Furniture,Side Tables,OK,12/9/18,92,0,92,2,2,2,0.05,204,391.55,158.69,1781,42,4947
Outdoor Furniture,Side Tables,OK,12/2/18,81.33,20.33,61,4,3,3,0.06,136,190.04,155.19,1855,44,5152
Outdoor Furniture,Side Tables,OK,11/25/18,0,0,0,0,0,0,0,0,0,153.86,1872,46,5201
Outdoor Furniture,Side Tables,OK,11/18/18,67,0,67,4,4,4,0.08,149,282.36,156.73,1872,46,5201
Outdoor Furniture,Side Tables,OK,11/11/18,10,0,10,1,1,2,0.02,22,161.16,150.71,1955,50,5430
Outdoor Furniture,Side Tables,OK,11/4/18,100,0,100,5,5,6,0.09,222,151.38,146.44,1957,50,5436
Outdoor Furniture,Side Tables,OK,10/28/18,-42,0,-42,-1,-1,1,-0.02,-93,161.01,145.95,2001,52,5558
Outdoor Furniture,Side Tables,OK,10/21/18,96,0,96,4,4,4,0.08,213,153.77,152.25,1912,49,5311
Outdoor Furniture,Side Tables,OK,10/14/18,152.4,25.4,127,6,5,5,0.09,282,67.61,146.44,1920,52,5332
Outdoor Furniture,Side Tables,OK,10/7/18,129,0,129,5,5,5,0.08,287,120.74,138.25,1998,55,5549
Outdoor Furniture,Desks,Perfect,1/13/19,1783.78,23.78,1760,75,74,53,0.04,3911,227,186.83,52422,1948,105902
Outdoor Furniture,Desks,Perfect,1/6/19,1906.7,22.7,1884,84,83,65,0.04,4187,254.87,186.13,53961,1997,109011
Outdoor Furniture,Desks,Perfect,12/30/18,1953,0,1953,81,81,58,0.04,4340,238.93,183.33,56367,2090,113873
Outdoor Furniture,Desks,Perfect,12/23/18,1492,0,1492,62,62,38,0.03,3316,251.48,179.55,58111,2163,117396
Outdoor Furniture,Desks,Perfect,12/16/18,1337.76,26.76,1311,50,49,40,0.02,2913,212.37,175.14,59220,2208,119636
Outdoor Furniture,Desks,Perfect,12/9/18,2505.57,22.57,2483,111,110,76,0.05,5518,233.93,174.93,58807,2201,118802
Outdoor Furniture,Desks,Perfect,12/2/18,2062.71,21.71,2041,95,94,67,0.04,4536,252.25,178.57,59582,2257,120367
Outdoor Furniture,Desks,Perfect,11/25/18,2192,0,2192,96,96,62,0.04,4871,215.06,179.27,59806,2288,120820
Outdoor Furniture,Desks,Perfect,11/18/18,1387.75,22.75,1365,61,60,41,0.03,3033,214.45,180.6,61459,2361,124160
Outdoor Furniture,Desks,Perfect,11/11/18,872.78,20.78,852,42,41,36,0.02,1893,203.36,177.87,60916,2349,123062
Outdoor Furniture,Desks,Perfect,11/4/18,1644.1,26.1,1618,63,62,48,0.03,3596,182.11,179.06,59663,2321,120531
Outdoor Furniture,Desks,Perfect,10/28/18,1234,0,1234,51,51,45,0.02,2742,152.61,175.42,60234,2344,121684
Outdoor Furniture,Desks,Perfect,10/21/18,1799,0,1799,76,76,45,0.03,3998,173.17,174.3,59701,2333,120609
Outdoor Furniture,Desks,Perfect,10/14/18,2466,0,2466,100,100,69,0.04,5480,170.02,173.32,60259,2353,121736
Outdoor Furniture,Desks,Perfect,10/7/18,2297,0,2297,89,89,70,0.04,5104,164.01,171.01,61437,2405,124116
Outdoor Furniture,Desks,Great,1/13/19,240.78,43.78,197,11,9,9,0.03,438,123.74,156.59,7823,330,15804
Outdoor Furniture,Desks,Great,1/6/19,213.43,47.43,166,9,7,8,0.02,369,96.25,150.08,8036,337,16233
Outdoor Furniture,Desks,Great,12/30/18,348.35,19.35,329,18,17,16,0.05,731,241.55,150.92,8239,343,16644
Outdoor Furniture,Desks,Great,12/23/18,67,0,67,2,2,4,0.01,149,107.72,145.53,8512,356,17196
Outdoor Furniture,Desks,Great,12/16/18,73,0,73,4,4,8,0.01,162,163.47,143.15,8424,351,17018
Outdoor Furniture,Desks,Great,12/9/18,45.6,7.6,38,6,5,8,0.02,84,175.1,139.09,8070,338,16302
Outdoor Furniture,Desks,Great,12/2/18,409.13,48.13,361,17,15,17,0.04,802,222.68,142.52,8062,340,16287
Outdoor Furniture,Desks,Great,11/25/18,329.6,20.6,309,16,15,14,0.04,687,232.39,146.23,8016,338,16193
Outdoor Furniture,Desks,Great,11/18/18,223.71,49.71,174,9,7,7,0.02,387,188.96,150.01,8082,342,16327
Outdoor Furniture,Desks,Great,11/11/18,110.4,18.4,92,6,5,7,0.01,204,130.28,145.53,8139,345,16442
Outdoor Furniture,Desks,Great,11/4/18,8,4,4,4,2,8,0.01,9,130.67,144.48,7855,337,15869
Outdoor Furniture,Desks,Great,10/28/18,0,52,-52,0,-1,6,0,-116,101.1,139.86,7768,334,15693
Outdoor Furniture,Desks,Great,10/21/18,277,0,277,12,12,12,0.04,616,167.4,134.61,7541,327,15233
Outdoor Furniture,Desks,Great,10/14/18,358.4,22.4,336,16,15,14,0.05,747,199.2,139.02,7428,322,15007
Outdoor Furniture,Desks,Great,10/7/18,155.17,22.17,133,7,6,8,0.02,296,167.71,140.07,7492,329,15136
Outdoor Furniture,Desks,OK,1/13/19,71.25,14.25,57,5,4,4,0.05,127,269.42,197.05,1572,75,3176
Outdoor Furniture,Desks,OK,1/6/19,25,0,25,1,1,2,0.01,56,125.36,190.05,1635,79,3302
Outdoor Furniture,Desks,OK,12/30/18,38,0,38,2,2,2,0.03,84,180.03,185.29,1630,79,3293
Outdoor Furniture,Desks,OK,12/23/18,30,0,30,1,1,1,0.01,67,19.56,178.5,1681,80,3396
Outdoor Furniture,Desks,OK,12/16/18,12,0,12,1,1,1,0.01,27,362.29,178.29,1689,80,3411
Outdoor Furniture,Desks,OK,12/9/18,71,0,71,4,4,4,0.05,158,248.79,175.91,1654,79,3342
Outdoor Furniture,Desks,OK,12/2/18,22,11,11,2,1,1,0.01,24,501.5,178.5,1691,82,3416
Outdoor Furniture,Desks,OK,11/25/18,25,0,25,2,2,2,0.02,56,227.61,176.47,1680,82,3393
Outdoor Furniture,Desks,OK,11/18/18,0,0,0,0,0,0,0,0,0,186.2,1601,80,3233
Outdoor Furniture,Desks,OK,11/11/18,12,0,12,1,1,2,0.01,27,9.55,179.06,1565,78,3162
Outdoor Furniture,Desks,OK,11/4/18,50,0,50,2,2,2,0.03,111,227,182.42,1489,76,3009
Outdoor Furniture,Desks,OK,10/28/18,42,0,42,2,2,2,0.03,93,45.89,176.4,1536,77,3102
Outdoor Furniture,Desks,OK,10/21/18,0,22,-22,0,-1,0,-0.01,-49,0,174.09,1542,77,3116
Outdoor Furniture,Desks,OK,10/14/18,55.5,18.5,37,3,2,2,0.03,82,184.42,175.63,1499,75,3029
Outdoor Furniture,Desks,OK,10/7/18,49,0,49,2,2,2,0.03,109,106.8,171.29,1491,75,3011
Outdoor Furniture,Beds,Perfect,1/13/19,1781,0,1781,52,52,38,0.07,1836,235.31,185.85,23453,674,21980
Outdoor Furniture,Beds,Perfect,1/6/19,895,0,895,34,34,30,0.05,923,234.47,183.54,25279,723,23692
Outdoor Furniture,Beds,Perfect,12/30/18,878.95,39.95,839,22,21,22,0.03,865,237.16,180.88,26333,758,24679
